"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2021-06-21T07:00:00.000Z","416.80","427.09","415.93","426.61","2.82","2.54","283,207,558"
"2021-06-28T07:00:00.000Z","427.17","434.10","425.89","433.72","1.67","1.39","265,096,649"
"2021-07-05T07:00:00.000Z","433.78","435.84","427.52","435.52","0.4150","0.1396","306,093,691"
"2021-07-12T07:00:00.000Z","435.43","437.92","430.92","431.34","-0.9598","-1.24","300,932,269"
"2021-07-19T07:00:00.000Z","426.19","440.30","421.97","439.94","1.99","1.72","423,964,739"
"2021-07-26T07:00:00.000Z","439.31","441.80","435.99","438.51","-0.3250","-0.6005","279,975,228"
"2021-08-02T07:00:00.000Z","440.34","442.94","436.10","442.49","0.9076","0.6322","249,469,072"
"2021-08-09T07:00:00.000Z","442.46","445.94","441.31","445.92","0.7752","0.4997","207,008,869"
"2021-08-16T07:00:00.000Z","444.53","447.11","436.12","443.36","-0.5741","-0.8496","420,777,686"
"2021-08-23T07:00:00.000Z","445.16","450.65","443.44","450.25","1.55","1.28","269,312,148"
"2021-08-30T07:00:00.000Z","450.97","454.05","450.71","453.08","0.6285","0.3531","246,444,177"
"2021-09-06T07:00:00.000Z","452.71","452.81","445.31","445.44","-1.69","-1.96","255,772,022"
"2021-09-13T07:00:00.000Z","448.64","448.92","441.02","441.40","-0.9070","-1.18","436,939,783"
"2021-09-20T07:00:00.000Z","434.88","444.89","428.86","443.91","0.5686","0.2932","499,812,607"
"2021-09-27T07:00:00.000Z","442.81","444.05","427.23","434.24","-2.18","-2.45","543,882,712"
"2021-10-04T07:00:00.000Z","433.00","441.68","426.36","437.86","0.8336","0.5582","479,279,625"
"2021-10-11T07:00:00.000Z","437.16","446.26","431.54","445.87","1.83","1.55","345,885,462"
"2021-10-18T07:00:00.000Z","443.97","454.67","443.27","453.12","1.63","1.35","258,932,150"
"2021-10-25T07:00:00.000Z","454.28","459.56","452.39","459.25","1.35","1.08","295,327,988"
"2021-11-01T07:00:00.000Z","460.30","470.65","458.20","468.53","2.02","1.75","269,089,534"
"2021-11-08T08:00:00.000Z","469.70","470.23","462.04","467.27","-0.2689","-0.5444","259,299,143"
"2021-11-15T08:00:00.000Z","468.64","470.94","466.23","468.89","0.3467","0.0712","251,637,471"
"2021-11-22T08:00:00.000Z","470.89","473.54","457.77","458.97","-2.12","-2.39","320,496,941"
"2021-11-29T08:00:00.000Z","464.07","466.56","448.92","453.42","-1.21","-1.48","632,283,656"
"2021-12-06T08:00:00.000Z","456.13","470.90","453.56","470.74","3.82","3.54","405,133,322"
"2021-12-13T08:00:00.000Z","470.19","472.87","458.06","459.87","-2.31","-2.58","554,093,195"
"2021-12-20T08:00:00.000Z","454.48","472.19","451.14","470.60","2.33","2.06","292,271,050"
"2021-12-27T08:00:00.000Z","472.06","479.00","472.01","474.96","0.9265","0.6510","279,152,640"
"2022-01-03T08:00:00.000Z","476.30","479.98","464.65","466.09","-1.87","-2.14","420,356,344"
"2022-01-10T08:00:00.000Z","462.70","473.20","456.60","464.72","-0.2939","-0.5694","448,334,564"
"2022-01-17T08:00:00.000Z","459.74","459.96","437.95","437.98","-5.75","-6.03","543,880,882"
"2022-01-24T08:00:00.000Z","432.03","444.04","420.76","441.95","0.9064","0.6310","921,220,809"
"2022-01-31T08:00:00.000Z","441.24","458.12","439.81","448.70","1.53","1.25","629,246,554"
"2022-02-07T08:00:00.000Z","449.51","457.88","438.94","440.46","-1.84","-2.11","551,393,133"
"2022-02-14T08:00:00.000Z","439.92","448.06","431.82","434.23","-1.41","-1.69","531,431,354"
"2022-02-21T08:00:00.000Z","431.89","437.84","410.64","437.75","0.8106","0.5352","592,717,240"
"2022-02-28T08:00:00.000Z","432.03","441.11","427.11","432.17","-1.27","-1.55","620,712,433"
"2022-03-07T08:00:00.000Z","431.55","432.30","415.12","420.07","-2.80","-3.08","609,269,001"
"2022-03-14T07:00:00.000Z","420.89","444.86","415.79","444.52","5.82","5.55","555,925,524"
"2022-03-21T07:00:00.000Z","444.34","452.98","440.68","452.69","1.84","1.56","384,264,471"
"2022-03-28T07:00:00.000Z","452.06","462.07","449.14","452.92","0.0508","-0.2247","445,526,972"
"2022-04-04T07:00:00.000Z","453.13","457.83","443.47","447.57","-1.18","-1.46","398,083,207"
"2022-04-11T07:00:00.000Z","444.11","445.75","436.65","437.79","-2.19","-2.46","346,074,018"
"2022-04-18T07:00:00.000Z","436.81","450.01","425.44","426.04","-2.68","-2.96","426,937,059"
"2022-04-25T07:00:00.000Z","423.67","429.64","411.21","412.00","-3.30","-3.57","596,614,147"
"2022-05-02T07:00:00.000Z","412.07","429.66","405.02","411.34","-0.1602","-0.4357","727,288,528"
"2022-05-09T07:00:00.000Z","405.10","406.41","385.15","401.72","-2.34","-2.61","659,709,433"
"2022-05-16T07:00:00.000Z","399.98","408.57","380.54","389.63","-3.01","-3.29","509,269,611"
"2022-05-23T07:00:00.000Z","392.83","415.38","386.96","415.26","6.58","6.30","426,273,624"
"2022-05-30T07:00:00.000Z","413.55","417.44","406.93","410.54","-1.14","-1.41","334,006,707"
"2022-06-06T07:00:00.000Z","414.78","416.61","389.75","389.80","-5.05","-5.33","400,314,843"
"2022-06-13T07:00:00.000Z","379.85","383.90","362.17","365.86","-6.14","-6.42","645,270,681"
"2022-06-20T07:00:00.000Z","371.89","390.09","370.18","390.08","6.62","6.34","344,213,753"
"2022-06-27T07:00:00.000Z","391.05","393.16","372.56","381.24","-2.27","-2.54","405,723,442"
"2022-07-04T07:00:00.000Z","375.88","390.64","372.90","388.67","1.95","1.67","288,787,893"
"2022-07-11T07:00:00.000Z","385.85","386.87","371.04","385.13","-0.9108","-1.19","373,575,974"
"2022-07-18T07:00:00.000Z","388.38","400.18","380.66","395.09","2.59","2.31","350,654,555"
"2022-07-25T07:00:00.000Z","395.75","413.03","389.95","411.99","4.28","4.00","349,890,219"
"2022-08-01T07:00:00.000Z","409.15","415.68","406.82","413.47","0.3592","0.0838","303,724,947"
"2022-08-08T07:00:00.000Z","415.25","427.21","410.22","427.10","3.30","3.02","288,807,695"
"2022-08-15T07:00:00.000Z","424.76","431.73","421.22","422.14","-1.16","-1.44","293,940,821"
"2022-08-22T07:00:00.000Z","417.05","419.96","405.25","405.31","-3.99","-4.26","330,007,921"
"2022-08-29T07:00:00.000Z","402.20","405.84","390.04","392.24","-3.22","-3.50","405,425,157"
"2022-09-05T07:00:00.000Z","393.13","407.51","388.42","406.60","3.66","3.39","305,130,231"
"2022-09-12T07:00:00.000Z","408.78","411.73","382.11","385.56","-5.17","-5.45","467,945,749"
"2022-09-19T07:00:00.000Z","382.26","389.31","363.29","367.95","-4.57","-4.84","469,119,500"
"2022-09-26T07:00:00.000Z","366.41","372.30","357.04","357.18","-2.93","-3.20","578,341,093"
"2022-10-03T07:00:00.000Z","361.08","379.46","359.21","362.79","1.57","1.30","471,547,964"
"2022-10-10T07:00:00.000Z","363.96","370.26","348.11","357.63","-1.42","-1.70","516,508,880"
"2022-10-17T07:00:00.000Z","364.01","375.45","357.28","374.29","4.66","4.38","489,399,410"
"2022-10-24T07:00:00.000Z","375.89","389.52","373.11","389.02","3.94","3.66","450,644,317"
"2022-10-31T07:00:00.000Z","386.44","390.39","368.79","376.35","-3.26","-3.53","499,634,509"
"2022-11-07T08:00:00.000Z","377.71","399.35","373.61","398.51","5.89","5.61","466,719,198"
"2022-11-14T08:00:00.000Z","396.66","402.31","390.14","396.03","-0.6223","-0.8978","401,014,777"
"2022-11-21T08:00:00.000Z","394.64","402.93","392.66","402.33","1.59","1.32","210,479,276"
