"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-05-15T07:00:00.000Z","5,263.26","5,311.76","5,263.26","5,308.15","1.17","1.11","23,096,936"
"2024-05-16T07:00:00.000Z","5,310.07","5,325.49","5,296.19","5,297.10","-0.2082","-0.2658","22,125,385"
"2024-05-17T07:00:00.000Z","5,303.10","5,305.45","5,283.59","5,303.27","0.1165","0.0589","19,671,202"
"2024-05-20T07:00:00.000Z","5,305.35","5,325.32","5,302.40","5,308.13","0.0916","0.0340","18,322,818"
"2024-05-21T07:00:00.000Z","5,298.69","5,324.32","5,297.87","5,321.41","0.2502","0.1926","19,743,213"
"2024-05-22T07:00:00.000Z","5,319.28","5,323.18","5,286.01","5,307.01","-0.2706","-0.3282","20,794,372"
"2024-05-23T07:00:00.000Z","5,340.26","5,341.88","5,256.93","5,267.84","-0.7381","-0.7957","22,906,822"
"2024-05-24T07:00:00.000Z","5,281.45","5,311.65","5,278.39","5,304.72","0.7001","0.6425","17,433,543"
"2024-05-28T07:00:00.000Z","5,315.91","5,315.91","5,280.89","5,306.04","0.0249","-0.0327","21,030,274"
"2024-05-29T07:00:00.000Z","5,278.73","5,282.27","5,262.70","5,266.95","-0.7367","-0.7943","22,135,727"
"2024-05-30T07:00:00.000Z","5,259.77","5,260.21","5,222.10","5,235.48","-0.5975","-0.6551","23,168,555"
"2024-05-31T07:00:00.000Z","5,243.21","5,280.33","5,191.68","5,277.51","0.8028","0.7452","39,309,227"
"2024-06-03T07:00:00.000Z","5,297.15","5,302.11","5,234.32","5,283.40","0.1116","0.0540","23,029,648"
"2024-06-04T07:00:00.000Z","5,278.24","5,298.80","5,257.63","5,291.34","0.1503","0.0927","21,641,498"
"2024-06-05T07:00:00.000Z","5,314.48","5,354.16","5,297.64","5,354.03","1.18","1.13","21,462,626"
"2024-06-06T07:00:00.000Z","5,357.80","5,362.35","5,335.36","5,352.96","-0.0200","-0.0776","20,108,782"
"2024-06-07T07:00:00.000Z","5,343.81","5,375.08","5,331.33","5,346.99","-0.1115","-0.1691","18,581,116"
"2024-06-10T07:00:00.000Z","5,341.22","5,365.79","5,331.52","5,360.79","0.2581","0.2005","24,298,651"
"2024-06-11T07:00:00.000Z","5,353.00","5,375.95","5,327.25","5,375.32","0.2710","0.2134","23,484,657"
"2024-06-12T07:00:00.000Z","5,409.13","5,447.25","5,409.13","5,421.03","0.8504","0.7928","27,044,674"
"2024-06-13T07:00:00.000Z","5,441.93","5,441.93","5,402.51","5,433.74","0.2345","0.1768","24,003,358"
"2024-06-14T07:00:00.000Z","5,424.08","5,432.39","5,403.75","5,431.60","-0.0394","-0.0970","22,430,555"
"2024-06-17T07:00:00.000Z","5,431.11","5,488.50","5,420.40","5,473.23","0.7664","0.7088","24,201,480"
